Finn_code	finn_pheno	UK_code	UK_pheno	h2_observed	score	priority	comments	Unnamed: 8	Соответствие	Unnamed: 10	intersect_clump_fu_n	intersect_clump_fm_n	intersect_clump_um_n	intersect_clump_fum_n
C3_FEMALE_GENITAL	malignant neoplasm of female genital organs	40001_C55	Malignant neoplasm of uterus, part unspecified	-0.0053642851966700005	0.7829216122627258	*					0	0	0	0
C3_LIP_ORAL_PHARYNX	Malignant neoplasm of lip, oral cavity and pharynx	C02	Malignant neoplasm of other and unspecified parts of tongue	0.00213911244475	0.7686142325401306	*					0	0	0	0
C3_LIP_ORAL_PHARYNX	Malignant neoplasm of lip, oral cavity and pharynx	C15	Malignant neoplasm of oesophagus	0.00308638072392	0.7598549127578735	*					0	0	0	0
C3_LIP_ORAL_PHARYNX	Malignant neoplasm of lip, oral cavity and pharynx	C32	Malignant neoplasm of larynx	-0.00025496704105000003	0.7556934952735901	*					0	0	0	0
C3_MALE_GENITAL	malignant neoplasm of male genital organs	C62	Malignant neoplasm of testis	0.00179177570694	0.7146373987197876	*					0	3	1	0
C3_UNCERTAIN_SECONDARY	Secondary uncertain malignant neoplasm	40001_C809	Malignant neoplasm, unspecified	-0.04188339593069999	0.8393926620483398	*					0	0	0	0
C3_UNCERTAIN_SECONDARY	Secondary uncertain malignant neoplasm	40001_C800	Malignant neoplasm, primary site unknown, so stated	0.0398714779746	0.7570575475692749	*					0	0	0	0
CD2_BENIGN	Benign neoplasms	D17	Benign lipomatous neoplasm	0.00149479289888	0.8121680021286011	*					0	9	4	3
CD2_BENIGN	Benign neoplasms	D30	Benign neoplasm of urinary organs	0.0019146684435299998	0.7964543700218201	*					0	2	0	0
CD2_BENIGN_BRAIN_NOS	Benign neoplasm: Brain, unspecified	D36	Benign neoplasm of other and unspecified sites	-0.0010809759981300002	0.7721261978149414	*	?				0	0	0	0
CD2_BENIGN_CAECUM	Benign neoplasm: Caecum	D36	Benign neoplasm of other and unspecified sites	-0.0010809759981300002	0.7253320217132568	*					0	0	0	0
CD2_BENIGN_CHOROID	Benign neoplasm: Choroid	D36	Benign neoplasm of other and unspecified sites	-0.0010809759981300002	0.7570238709449768	*					0	0	0	0
CD2_BENIGN_COLON	Benign neoplasm: Colon	D12	Benign neoplasm of colon, rectum, anus and anal canal	0.011877550068999999	0.7835153341293335	*					0	2	11	2
CD2_BENIGN_COLON_NOS	Benign neoplasm: Colon, unspecified	D36	Benign neoplasm of other and unspecified sites	-0.0010809759981300002	0.7345633506774902	*					0	0	0	0
CD2_BENIGN_CONNSOFT_HEADFACETRUNK	Benign neoplasm: Connective and other soft tissue of head, face and neck	D21	Other benign neoplasms of connective and other soft tissue	0.00039054513491699994	0.7056053280830383	*					0	0	0	0
CD2_BENIGN_CORPUS_UTERI_EXALLC	Other benign neoplasm of uterus: Corpus uteri (all cancers excluded)	D26	Other benign neoplasms of uterus	-0.0024824509465100003	0.7836423516273499	*					0	0	0	0
CD2_BENIGN_CORPUS_UTERI_EXALLC	Other benign neoplasm of uterus: Corpus uteri (all cancers excluded)	N88	Other noninflammatory disorders of cervix uteri	0.0008463487615730001	0.7319666743278503	*					0	0	0	0
CD2_BENIGN_CORPUS_UTERI_EXALLC	Other benign neoplasm of uterus: Corpus uteri (all cancers excluded)	N85	Other noninflammatory disorders of uterus, except cervix	-0.0007450210619450001	0.7111519575119019	*					0	0	0	0
CD2_BENIGN_CRANIAL_NERVE	Benign neoplasm: Cranial nerves	D33	Benign neoplasm of brain and other parts of central nervous system	-0.0021919322932199997	0.7158596515655518	*					0	1	0	0
CD2_BENIGN_EYE	Benign neoplasm of eye and adnexa	D36	Benign neoplasm of other and unspecified sites	-0.0010809759981300002	0.7643847465515137	*					0	0	0	0
CD2_BENIGN_INTRATHORACIC	Benign neoplasm of other and unspecified intrathoracic organs	D36	Benign neoplasm of other and unspecified sites	-0.0010809759981300002	0.857829213142395	*					0	0	0	0
CD2_BENIGN_INTRATHORACIC_EXALLC	Benign neoplasm of other and unspecified intrathoracic organs (all cancers excluded)	D36	Benign neoplasm of other and unspecified sites	-0.0010809759981300002	0.713351845741272	*					0	0	0	0
CD2_BENIGN_LIP	Benign neoplasm: Lip	D10	Benign neoplasm of mouth and pharynx	-0.0007094091017980001	0.7495593428611755	*					0	0	0	0
CD2_BENIGN_LIPO_NOS	Benign lipomatous neoplasm of other sites/unspecified	D36	Benign neoplasm of other and unspecified sites	-0.0010809759981300002	0.8272829651832581	*					0	0	0	0
CD2_BENIGN_LIPO_SKIN_HEADFACENECK	Benign lipomatous neoplasm of skin and subcutaneous tissue of head, face and neck	D17	Benign lipomatous neoplasm	0.00149479289888	0.7675284743309021	*					0	0	2	0
CD2_BENIGN_LIPO_SKIN_LIMBS	Benign lipomatous neoplasm of skin and subcutaneous tissue of limbs	D17	Benign lipomatous neoplasm	0.00149479289888	0.7902262806892395	*					0	0	2	0
CD2_BENIGN_LIPO_SKIN_NOS	Benign lipomatous neoplasm of skin and subcutaneous tissue of other and unspecified sites	D17	Benign lipomatous neoplasm	0.00149479289888	0.8052477240562439	*					0	0	1	0
CD2_BENIGN_LIPO_SKIN_TRUNK	Benign lipomatous neoplasm of skin and subcutaneous tissue of trunk	D17	Benign lipomatous neoplasm	0.00149479289888	0.8253886699676514	*					0	0	3	0
CD2_BENIGN_LYMPHANGIOMA	Lymphangioma, anys site	D18	Haemangioma and lymphangioma, any site	0.00187207848579	0.7038021683692932	*					0	0	0	0
CD2_BENIGN_MELANOCYTIC_LIP	Melanocytic naevi of lip	D22	Melanocytic naevi	0.00369926059422	0.8261585831642151	*					0	0	2	0
CD2_BENIGN_MELANOCYTIC_SCALPNECK	Melanocytic naevi of scalp and neck	D22	Melanocytic naevi	0.00369926059422	0.7472237944602966	*					0	0	3	1
CD2_BENIGN_MELANOCYTIC_TRUNK	Melanocytic naevi of trunk	D22	Melanocytic naevi	0.00369926059422	0.8734222650527954	*					0	0	4	0
CD2_BENIGN_MOUTH_NOS	Benign neoplasm: Other and unspecified parts of mouth	D36	Benign neoplasm of other and unspecified sites	-0.0010809759981300002	0.7864916324615479	*					0	0	0	0
CD2_BENIGN_OROPHA_OTHER	Benign neoplasm: Other parts of oropharynx	D36	Benign neoplasm of other and unspecified sites	-0.0010809759981300002	0.8040042519569397	*					0	0	0	0
CD2_BENIGN_OROPHA_OTHER	Benign neoplasm: Other parts of oropharynx	D10	Benign neoplasm of mouth and pharynx	-0.0007094091017980001	0.7734234929084778	*					0	0	0	0
CD2_BENIGN_OROPHA_OTHER_EXALLC	Benign neoplasm: Other parts of oropharynx (all cancers excluded)	D36	Benign neoplasm of other and unspecified sites	-0.0010809759981300002	0.7117677927017212	*					0	0	0	0
CD2_BENIGN_PHARYNX_NOS	Benign neoplasm: Pharynx, unspecified	D10	Benign neoplasm of mouth and pharynx	-0.0007094091017980001	0.7977097630500793	*					0	0	0	0
CD2_BENIGN_RECTUM	Benign neoplasm: Rectum	D12	Benign neoplasm of colon, rectum, anus and anal canal	0.011877550068999999	0.8156886100769043	*					0	0	10	0
CD2_BENIGN_RECTUM_EXALLC	Benign neoplasm: Rectum (all cancers excluded)	D12	Benign neoplasm of colon, rectum, anus and anal canal	0.011877550068999999	0.7048597931861877	*					0	0	10	0
CD2_BENIGN_SALIVARY_NOS	Benign neoplasm: other/unspecified salivary gland	D36	Benign neoplasm of other and unspecified sites	-0.0010809759981300002	0.7635511159896851	*					0	0	0	0
CD2_BENIGN_SKIN_FACE	Benign neoplasm: Skin of other and unspecified parts of face	D36	Benign neoplasm of other and unspecified sites	-0.0010809759981300002	0.7998058795928955	*					0	0	1	0
CD2_BENIGN_SKIN_FACE_EXALLC	Benign neoplasm: Skin of other and unspecified parts of face (all cancers excluded)	D36	Benign neoplasm of other and unspecified sites	-0.0010809759981300002	0.7243788242340088	*					0	0	1	0
CD2_BENIGN_SKIN_NOS	Benign neoplasm: Skin, unspecified	D36	Benign neoplasm of other and unspecified sites	-0.0010809759981300002	0.7440550327301025	*					0	0	0	0
CD2_BENIGN_TRANSVERSE_COLON	Benign neoplasm: Transverse colon	D36	Benign neoplasm of other and unspecified sites	-0.0010809759981300002	0.7149699330329895	*					0	0	0	0
CD2_BENIGN_UTERUS_NOS_EXALLC	Other benign neoplasm of uterus: Other parts/unspecified (all cancers excluded)	N85	Other noninflammatory disorders of uterus, except cervix	-0.0007450210619450001	0.7475873231887817	*	??				0	0	0	0
CD2_BENIGN_UTERUS_OTH_EXALLC	Other benign neoplasms of uterus (all cancers excluded)	N85	Other noninflammatory disorders of uterus, except cervix	-0.0007450210619450001	0.7190222144126892	*	?				0	0	0	0
CD2_BENIGN_UTERUS_OTH_EXALLC	Other benign neoplasms of uterus (all cancers excluded)	N88	Other noninflammatory disorders of cervix uteri	0.0008463487615730001	0.7016403079032898	*	?				0	0	0	0
CD2_BENIGN_VULVA	Benign neoplasm: Vagina	D28	Benign neoplasm of other and unspecified female genital organs	0.0022515913386399996	0.7374166250228882	*					0	0	0	0
CD2_FOLLICULAR_LYMPHOMA	Follicular lymphoma	C82	Follicular [nodular] non-Hodgkin's lymphoma	-0.000410592489671	0.8172826170921326	*					0	2	2	0
CD2_FOLLICULAR_LYMPHOMA	Follicular lymphoma	40001_C829	Follicular non-Hodgkin's lymphoma, unspecified	0.161722554139	0.759556233882904	*					0	0	0	0
CD2_FOLLICULAR_LYMPHOMA_EXALLC	Follicular lymphoma (all cancers excluded)	40001_C829	Follicular non-Hodgkin's lymphoma, unspecified	0.161722554139	0.7618472576141357	*					0	0	0	0
CD2_INSITU_CERVIX_UTERI_NOS	Carcinoma in situ of uteri, other/unspecified	D09	Carcinoma in situ of other and unspecified sites	0.0011026198074000002	0.7647888064384459	*					0	0	1	0
CD2_INSITU_CERVIX_UTERI_NOS	Carcinoma in situ of uteri, other/unspecified	D07	Carcinoma in situ of other and unspecified genital organs	0.0028254164967800002	0.7428113222122192	*					0	0	0	0
CD2_INSITU_CERVIX_UTERI_NOS_EXALLC	Carcinoma in situ of uteri, other/unspecified (all cancers excluded)	D07	Carcinoma in situ of other and unspecified genital organs	0.0028254164967800002	0.7133464217185974	*					0	0	0	0
CD2_INSITU_MELANOMA_FACE	Melanoma in situ of other and unspecified parts of face	D03	Melanoma in situ	-0.00201645921192	0.7420462369918823	*					0	0	0	0
CD2_INSITU_MELANOMA_TRUNK	Melanoma in situ of trunk	D03	Melanoma in situ	-0.00201645921192	0.8348472714424133	*					0	0	0	0
CD2_INSITU_MELANOMA_TRUNK_EXALLC	Melanoma in situ of trunk (all cancers excluded)	D03	Melanoma in situ	-0.00201645921192	0.7239571213722229	*					0	0	0	0
CD2_INSITU_SKIN_EXALLC	Carcinoma in situ of skin (all cancers excluded)	D04	Carcinoma in situ of skin	-0.00118757193976	0.7021747827529907	*					0	1	0	0
CD2_INSITU_SKIN_FACE	Carcinoma in situ of skin of other and unspecified parts of face	D09	Carcinoma in situ of other and unspecified sites	0.0011026198074000002	0.7178962826728821	*					0	0	0	0
CD2_INSITU_SKIN_SCALPNECK	Carcinoma in situ of skin of scalp and neck	D04	Carcinoma in situ of skin	-0.00118757193976	0.8158244490623474	*					0	0	0	0
CD2_INSITU_SKIN_TRUNK	Carcinoma in situ of skin of trunk	D04	Carcinoma in situ of skin	-0.00118757193976	0.8783555030822754	*					0	0	0	0
CD2_INSITU_SKIN_UPPERLIMB	Carcinoma in situ of skin of upper limb, including shoulder	D04	Carcinoma in situ of skin	-0.00118757193976	0.7270618081092834	*					0	0	0	0
CD2_TNK_LYMPHOMA_EXALLC	Mature T/NK-cell lymphomas (all cancers excluded)	40001_C845	Other and unspecified T-cell lymphomas	0.0570261904627	0.7036525011062622	*					0	0	0	0
CHONDRO_OTH	Other chondrocalcinosis	M48	Other spondylopathies	0.00138066721165	0.7395314574241638	*					0	0	0	0
CONGEN_HEART_ARTER	Congenital malformations of heart and great arteries	Q21	Congenital malformations of cardiac septa	-0.00366614848084	0.8041631579399109	*					0	0	0	0
D3_AIHA_OTHER	Other autoimmune haemolytic anaemias	D64	Other anaemias	-0.00025497861866399996	0.7378894090652466	*					0	0	1	0
E4_DIABETES	Diabetes mellitus	E10	Insulin-dependent diabetes mellitus	0.00428317957721	0.8477596640586853	*					1	20	4	3
E4_ENDOGLAND	Disorders of other endocrine glands	D44	Neoplasm of uncertain or unknown behaviour of endocrine glands	-0.00283915630762	0.8052504062652588	*					0	0	0	0
E4_ENDOGLAND	Disorders of other endocrine glands	D35	Benign neoplasm of other and unspecified endocrine glands	-0.0016579833005999998	0.7674388885498047	*					0	0	0	0
E4_HYPOPARA	Hypoparathyroidism	E03	Other hypothyroidism	0.0053200607391000005	0.717154324054718	*					0	0	0	0
E4_HYTHYSUBS	Hypothyroidism due to medicaments and other exogenous substances	E03	Other hypothyroidism	0.0053200607391000005	0.7473195195198059	*					0	0	0	0
E4_IRON_MET	Disorders of iron metabolism	D50	Iron deficiency anaemia	-0.00125728708291	0.7206467390060425	*					0	2	2	1
E4_PARATHYRO	Disorders of parathyroid gland	E21	Hyperparathyroidism and other disorders of parathyroid gland	0.000818959019482	0.914668619632721	*					0	0	0	0
E4_THYROID	Disorders of the thyroid gland	C73	Malignant neoplasm of thyroid gland	8.43537174316e-05	0.7602078318595886	*					0	13	3	2
E4_THYROID	Disorders of the thyroid gland	40001_C73	Malignant neoplasm of thyroid gland	0.0813721001293	0.7602078318595886	*					0	0	0	0
EPISEIZALCO	Epileptic seizures related to alcohol	F10	Mental and behavioural disorders due to use of alcohol	-0.00231715077958	0.7842898368835449	*	???				0	0	0	0
F5_ALCOHOL_DEPENDENCE	Alcohol dependence	F10	Mental and behavioural disorders due to use of alcohol	-0.00231715077958	0.7509224414825441	*					0	1	0	0
F5_Dementia_U_EXMORE	Undefined dementia (more controls excluded)	40001_F019	Vascular dementia, unspecified	-0.005024021024560001	0.7016260027885437	*					0	0	0	0
F5_MENTORG	Other mental disorders due to brain damage and dysfunction and to physical disease	G93	Other disorders of brain	-0.0010364892370700002	0.7660498023033142	*					0	0	1	0
F5_NEUROTICOTH	Other neurotic disorders	G93	Other disorders of brain	-0.0010364892370700002	0.8097631335258484	*					0	0	0	0
F5_NEUROTICOTH	Other neurotic disorders	G62	Other polyneuropathies	0.0009836417692360001	0.7068085670471191	*	?				0	0	0	0
F5_VASCDEM	Vascular dementia	40001_F03	Unspecified dementia	-0.0687833660558	0.732827365398407	*					0	0	0	0
FG_CARDMYO	Cardiomyopathy (excluding other)	40001_I420	Dilated cardiomyopathy	0.0198131634053	0.7574934959411621	*					0	0	0	0
FG_OTHHEART	Other heart diseases	I24	Other acute ischaemic heart diseases	0.0014626880307600002	0.8712974190711975	*					0	3	0	0
FG_OTHHEART	Other heart diseases	I49	Other cardiac arrhythmias	0.00188803560172	0.7187567353248596	*					0	1	0	0
FG_PULMHEART	Pulmonary heart disease	I26	Pulmonary embolism	0.00445089549707	0.7303581237792969	*					0	0	11	4
G6_CERVROOT	Cervical root disorders	M50	Cervical disk disorders	0.0033960584340300003	0.7986993789672852	*					0	0	0	0
G6_DRUGPOLY	Drug-induced polyneuropathy	G62	Other polyneuropathies	0.0009836417692360001	0.7768338918685913	*					0	0	0	0
G6_MENINGOTH	Other meningitis	A87	Viral meningitis	-0.0027615436448499998	0.7710576057434082	*					0	0	0	0
G6_MONOLOWOTHUNS	Other and unspecified mononeuropathies of lower limb	G58	Other mononeuropathies	-0.00100911415903	0.7534732222557068	*					0	0	0	0
G6_MONONPOTHUS	Other and unspecified mononeuropathies of upper limb	G58	Other mononeuropathies	-0.00100911415903	0.7288714647293091	*					0	0	0	0
G6_NEUROOTH	Other disorders of nervous system	40001_G318	Other specified degenerative diseases of nervous system	0.0581530912452	0.8288403749465942	*					0	0	0	0
G6_OTHNEU	Other neurological diseases	G93	Other disorders of brain	-0.0010364892370700002	0.7654122710227966	*					0	0	0	0
G6_PARDIPLE	Paraplegia, diplegia of upper limbs	G82	Paraplegia and tetraplegia	0.00251734271372	0.7401823997497559	*					0	0	0	0
GOUT_KIDNEY	Gout due to impairment of renal function	N17	Acute renal failure	0.0024299358626799997	0.7391302585601807	*					0	0	0	0
GOUT_KIDNEY	Gout due to impairment of renal function	N18	Chronic renal failure	-0.0021490252854	0.7256268262863159	*					0	0	0	0
H7_BCKRNDRETINOPAT	Background retinopathy and retinal vascular changes	H35	Other retinal disorders	-0.000913826291222	0.7102662324905396	*					0	0	0	0
H7_DIVERGSTRAB	Divergent concomitant strabismus	H50	Other strabismus	0.0012929942773199999	0.7060356140136719	*					0	0	0	0
H7_EYELIDINOTH	Disorders of eyelid in diseases classified elsewhere	H01	Other inflammation of eyelid	0.0007477369247180001	0.7917478084564209	*					0	0	0	0
H7_LIDLACRIMALORBIT	Disorders of eyelid, lacrimal system and orbit	H05	Disorders of orbit	-0.0011452849149300001	0.7043823599815369	*					0	0	0	0
H7_OTHRETARTOCC	Other retinal artery occlusion	H35	Other retinal disorders	-0.000913826291222	0.7852640748023987	*					0	0	0	0
H7_RETINOPATHYDIAB_BKG	Diabetic background retinopathy	H35	Other retinal disorders	-0.000913826291222	0.7260436415672302	*					0	4	2	0
H8_INNER	Diseases of inner ear	H93	Other disorders of ear, not elsewhere classified	-0.00034809328393699995	0.7005115151405334	*					0	0	0	0
H8_NOISEINNER	Noise effects on inner ear	H83	Other diseases of inner ear	0.0022693794365	0.7040892243385315	*					0	0	0	0
H8_OTHEREAR	Other disorders of ear	H83	Other diseases of inner ear	0.0022693794365	0.908132553100586	*					0	0	1	1
H8_POSTOP	Postprocedural disorders of ear and mastoid process, not elsewhere classified	H93	Other disorders of ear, not elsewhere classified	-0.00034809328393699995	0.7053478360176086	*					0	0	0	0
I9_AORTANEUR_EXNONE	Aortic aneurysm (no controls excluded)	40001_I359	Aortic valve disorder, unspecified	-0.039870956762399996	0.7319763302803041	*					0	0	0	0
I9_CARDMPRI	Cardiomyopathies, Primary/intrinsic	40001_I255	Ischaemic cardiomyopathy	-0.0132703500902	0.7896513342857361	*					0	0	0	0
I9_CARDMPRI	Cardiomyopathies, Primary/intrinsic	40001_I420	Dilated cardiomyopathy	0.0198131634053	0.7054278254508972	*					0	0	0	0
I9_CORATHER	Coronary atherosclerosis	I70	Atherosclerosis	0.00349395133979	0.7899265885353088	*					0	10	1	0
I9_CVD	Cardiovascular diseases	I42	Cardiomyopathy	0.00245348807129	0.7057971358299255	*					0	2	0	0
I9_ENDOCARD	Endocarditis	40001_I330	Acute and subacute infective endocarditis	-0.0135133436702	0.8490990400314331	*					0	0	0	0
I9_ENDOCARD	Endocarditis	I33	Acute and subacute endocarditis	-0.00197094404829	0.8325988054275513	*					0	0	0	0
I9_ENDOCARD_EXNONE	Endocarditis (no controls excluded)	40001_I38	Endocarditis, valve unspecified	0.012865318409	0.7652415633201599	*					0	0	0	0
I9_HEARTFAIL	Heart failure,strict	40001_I500	Congestive heart failure	-0.00982367846512	0.7211768627166748	*					0	0	0	0
I9_HEARTFAIL	Heart failure,strict	40001_I110	Hypertensive heart disease with (congestive) heart failure	-0.0601773035315	0.714269757270813	*					0	0	0	0
I9_HEARTFAIL_ALLCAUSE	All-cause Heart Failure	40001_I500	Congestive heart failure	-0.00982367846512	0.8070851564407349	*					0	0	0	0
I9_HEARTFAIL_ALLCAUSE	All-cause Heart Failure	I25	Chronic ischaemic heart disease	0.0188306745	0.7260175943374634	*					0	0	13	0
I9_HEARTFAIL_AND_HYPERTCARDIOM	Heart failure and hypertrophic cardiomyopathy	40001_I110	Hypertensive heart disease with (congestive) heart failure	-0.0601773035315	0.8392546772956848	*					0	0	0	0
I9_HEARTFAIL_AND_HYPERTCARDIOM	Heart failure and hypertrophic cardiomyopathy	40001_I500	Congestive heart failure	-0.00982367846512	0.8089827299118042	*					0	0	0	0
I9_HYPERTROCARDMYOP	Hypertrophic cardiomyopathy	I42	Cardiomyopathy	0.00245348807129	0.7347242832183838	*					0	0	0	0
I9_HYPTENSPREG	Hypertension complicating pregnancy, childbirth, and the puerperium	O99	Other maternal diseases classifiable elsewhere but complicating pregnancy, childbirth and the puerperium	0.000117620854644	0.7525489330291748	*					0	0	0	0
I9_ISCHHEART	Ischemic heart diseases	I25	Chronic ischaemic heart disease	0.0188306745	0.7042136192321777	*					0	15	28	14
I9_MI	Myocardial infarction	I21	Acute myocardial infarction	0.00869808426931	0.8296179175376892	*					0	9	9	3
I9_MI	Myocardial infarction	I22	Subsequent myocardial infarction	0.00269569284142	0.821514368057251	*					0	7	1	0
I9_MI	Myocardial infarction	40001_I219	Acute myocardial infarction, unspecified	-0.278996727358	0.7586640715599059	*					0	15	0	0
I9_NONISCHCARDMYOP	Non-ischemic cardiomyopathy	40001_I429	Cardiomyopathy, unspecified	-0.020824406589799997	0.789417564868927	*					0	0	0	0
I9_NONISCHCARDMYOP	Non-ischemic cardiomyopathy	I42	Cardiomyopathy	0.00245348807129	0.7111170887947083	*					0	0	0	0
I9_NONISCHCARDMYOP_STRICT	Nonischemic cardiomyopathy	40001_I429	Cardiomyopathy, unspecified	-0.020824406589799997	0.7826308012008667	*					0	0	0	0
I9_OTHHEART	Other heart diseases	I49	Other cardiac arrhythmias	0.00188803560172	0.7187567353248596	*					0	2	0	0
I9_OTHILLHEART	Other or ill-defined heart diseases	40001_I259	Chronic ischaemic heart disease, unspecified	0.146980937679	0.7546206712722778	*					0	0	0	0
I9_OTHILLHEART	Other or ill-defined heart diseases	I24	Other acute ischaemic heart diseases	0.0014626880307600002	0.7277935743331909	*					0	0	0	0
I9_OTHILLHEART_EXNONE	Other or ill-defined heart diseases (no controls excluded)	40001_I259	Chronic ischaemic heart disease, unspecified	0.146980937679	0.749017596244812	*					0	0	0	0
I9_OTHOTH	Other other unspecified disorders of the circulatory system	Q28	Other congenital malformations of circulatory system	0.0005337447522830001	0.7912384271621704	*					0	0	0	0
I9_PERICARD	Pericarditis	I30	Acute pericarditis	0.00503279007659	0.8646512031555176	*					0	0	0	0
I9_PULMHEART	Pulmonary heart disease, diseases of pulmonary circulation	40001_J441	Chronic obstructive pulmonary disease with acute exacerbation, unspecified	-0.0690398743909	0.7515622973442078	*					0	0	0	0
I9_PULMHEART	Pulmonary heart disease, diseases of pulmonary circulation	40001_J440	Chronic obstructive pulmonary disease with acute lower respiratory infection	-0.006759804100290001	0.7305792570114136	*					0	0	0	0
I9_PULMHEART	Pulmonary heart disease, diseases of pulmonary circulation	40001_J449	Chronic obstructive pulmonary disease, unspecified	0.00665911711211	0.7102786898612976	*					0	0	0	0
I9_PULMOTHHD	Other pulmonary heart/vessel disease	J44	Other chronic obstructive pulmonary disease	0.006491002734310001	0.713240385055542	*					0	0	1	0
I9_RHEUVALV	Rheumatic valve diseases	I05	Rheumatic mitral valve diseases	-0.000927362186407	0.7853230237960815	*					0	0	0	0
I9_RHEUVALV	Rheumatic valve diseases	I35	Nonrheumatic aortic valve disorders	7.8539867141e-05	0.7663435935974121	*					0	0	0	0
I9_RHEUVALV	Rheumatic valve diseases	I08	Multiple valve diseases	-0.0015113588328499999	0.7354499101638794	*					0	0	0	0
I9_VASCSYND	Vascular syndromes of brain in cerebrovascular disorders	I67	Other cerebrovascular diseases	-0.000660372016497	0.7095205187797546	*					0	0	0	0
J10_LOWCHRON	Chronic lower respiratory diseases	40001_J440	Chronic obstructive pulmonary disease with acute lower respiratory infection	-0.006759804100290001	0.7664598822593689	*					0	0	0	0
J10_LOWERINF	Other acute lower respiratory infections	40001_J988	Other specified respiratory disorders	0.212058115508	0.7086865305900574	*					0	0	0	0
J10_RESPIRATORY	Diseases of the respiratory system	40001_J440	Chronic obstructive pulmonary disease with acute lower respiratory infection	-0.006759804100290001	0.7249849438667297	*					0	0	0	0
K11_ATROPHY_SALIVARY_GLAND	Atrophy of salivary gland	K11	Diseases of salivary glands	-0.0014617276079400001	0.7022238373756409	*					0	0	0	0
K11_DISOESINOTH	Disorders of oesophagus in diseases classified elsewhere	K20	Oesophagitis	0.004906110512859999	0.7148622274398804	*					0	0	0	0
K11_DISOESINOTH	Disorders of oesophagus in diseases classified elsewhere	C15	Malignant neoplasm of oesophagus	0.00308638072392	0.7025977969169617	*					0	0	0	0
K11_FUNCDYSP	Functional dyspepsia	K30	Dyspepsia	0.00688750639365	0.7237788438796997	*					0	0	0	0
K11_IMPACTED_TEETH	Impacted teeth	K08	Other disorders of teeth and supporting structures	0.00333728769346	0.7238689661026001	*					0	0	0	0
K11_LIVER	Diseases of liver	C22	Malignant neoplasm of liver and intrahepatic bile ducts	0.00363969087841	0.8035231232643127	*					0	1	0	0
K11_LIVER	Diseases of liver	K70	Alcoholic liver disease	-0.00272377222061	0.7529785633087158	*					0	0	1	1
K11_PERITONITIS	Acute peritonitis	K65	Peritonitis	0.0011611839278	0.8438246846199036	*					0	0	0	0
K11_TEETH_HARD	Other diseases of hard tissues of teeth	K08	Other disorders of teeth and supporting structures	0.00333728769346	0.7734861373901367	*					0	0	0	0
K11_TOXLIV	Toxic liver disease	K76	Other diseases of liver	0.00474683188825	0.7207184433937073	*					0	0	0	0
L12_FACTITIALDERMAT	Factitial dermatitis	L30	Other dermatitis	-0.00295924789294	0.7331501245498657	*					0	0	0	0
L12_HYPETROPHICSCAR	Hypertrophic scar	L91	Hypertrophic disorders of skin	-0.00200995157656	0.7980471253395081	*					0	0	0	0
L12_INFECT_SKIN	Infections of the skin and subcutaneous tissue	L92	Granulomatous disorders of skin and subcutaneous tissue	-0.00143067401496	0.754562258720398	*					0	0	0	0
L12_INFECT_SKIN	Infections of the skin and subcutaneous tissue	R22	Localised swelling, mass and lump of skin and subcutaneous tissue	-0.0024316518644299998	0.7323352694511414	*					0	0	0	0
