Finn_code	finn_pheno	UK_code	UK_pheno	score	priority	finn_SNP_n	uk_SNP_n	meta_SNP_n	shared_SNP_fu_n	shared_SNP_fm_n	shared_SNP_um_n	shared_SNP_fum_n	uk_clump_n	finn_clump_n	meta_clump_n	intersect_clump_fu_n	intersect_clump_fm_n	intersect_clump_um_n	intersect_clump_fum_n
CD2_FOLLICULAR_LYMPHOMA	Follicular lymphoma	40001_C829	Follicular non-Hodgkin's lymphoma, unspecified	0.759556233882904	*	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CD2_FOLLICULAR_LYMPHOMA_EXALLC	Follicular lymphoma (all cancers excluded)	40001_C829	Follicular non-Hodgkin's lymphoma, unspecified	0.761847257614136	*	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CD2_INSITU_CERVIX_UTERI_NOS	Carcinoma in situ of uteri, other/unspecified	D09	Carcinoma in situ of other and unspecified sites	0.764788806438446	*	0	1	2	0	0	1	0	1	0	1	0	0	1	1
CD2_INSITU_CERVIX_UTERI_NOS	Carcinoma in situ of uteri, other/unspecified	D07	Carcinoma in situ of other and unspecified genital organs	0.742811322212219	*	0	0	2	0	0	0	0	0	0	0	0	0	0	0
CD2_INSITU_CERVIX_UTERI_NOS_EXALLC	Carcinoma in situ of uteri, other/unspecified (all cancers excluded)	D07	Carcinoma in situ of other and unspecified genital organs	0.713346421718597	*	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD2_INSITU_MELANOMA_FACE	Melanoma in situ of other and unspecified parts of face	D03	Melanoma in situ	0.742046236991882	*	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD2_INSITU_MELANOMA_TRUNK	Melanoma in situ of trunk	D03	Melanoma in situ	0.834847271442413	*	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD2_INSITU_MELANOMA_TRUNK_EXALLC	Melanoma in situ of trunk (all cancers excluded)	D03	Melanoma in situ	0.723957121372223	*	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD2_INSITU_SKIN_EXALLC	Carcinoma in situ of skin (all cancers excluded)	D04	Carcinoma in situ of skin	0.702174782752991	*	418	0	198	0	111	0	0	0	8	2	0	1	0	0
CD2_INSITU_SKIN_FACE	Carcinoma in situ of skin of other and unspecified parts of face	D09	Carcinoma in situ of other and unspecified sites	0.717896282672882	*	19	1	0	0	0	0	0	1	3	0	0	0	0	0
CD2_INSITU_SKIN_SCALPNECK	Carcinoma in situ of skin of scalp and neck	D04	Carcinoma in situ of skin	0.815824449062347	*	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD2_INSITU_SKIN_TRUNK	Carcinoma in situ of skin of trunk	D04	Carcinoma in situ of skin	0.878355503082275	*	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD2_INSITU_SKIN_UPPERLIMB	Carcinoma in situ of skin of upper limb, including shoulder	D04	Carcinoma in situ of skin	0.727061808109283	*	0	0	9	0	0	0	0	0	0	4	0	0	0	0
CD2_TNK_LYMPHOMA_EXALLC	Mature T/NK-cell lymphomas (all cancers excluded)	40001_C845	Other and unspecified T-cell lymphomas	0.703652501106262	*	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CHONDRO_OTH	Other chondrocalcinosis	M48	Other spondylopathies	0.739531457424164	*	0	2	0	0	0	0	0	1	0	0	0	0	0	0
CONGEN_HEART_ARTER	Congenital malformations of heart and great arteries	Q21	Congenital malformations of cardiac septa	0.804163157939911	*	43	1	0	0	0	0	0	1	1	0	0	0	0	0
D3_AIHA_OTHER	Other autoimmune haemolytic anaemias	D64	Other anaemias	0.737889409065247	*	0	655	4	0	0	3	0	2	0	1	0	0	1	1
E4_DIABETES	Diabetes mellitus	E10	Insulin-dependent diabetes mellitus	0.847759664058685	*	14028	7771	9458	3789	7826	4388	3639	9	165	33	9	36	9	15
E4_ENDOGLAND	Disorders of other endocrine glands	D44	Neoplasm of uncertain or unknown behaviour of endocrine glands	0.805250406265259	*	1	0	0	0	0	0	0	0	1	0	0	0	0	0
E4_ENDOGLAND	Disorders of other endocrine glands	D35	Benign neoplasm of other and unspecified endocrine glands	0.767438888549805	*	1	0	0	0	0	0	0	0	1	0	0	0	0	0
E4_HYPOPARA	Hypoparathyroidism	E03	Other hypothyroidism	0.717154324054718	*	3	0	0	0	0	0	0	0	0	0	0	0	0	0
E4_HYTHYSUBS	Hypothyroidism due to medicaments and other exogenous substances	E03	Other hypothyroidism	0.747319519519806	*	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E4_IRON_MET	Disorders of iron metabolism	D50	Iron deficiency anaemia	0.720646739006043	*	1731	188	922	0	629	2	0	2	15	6	0	4	1	1
E4_PARATHYRO	Disorders of parathyroid gland	E21	Hyperparathyroidism and other disorders of parathyroid gland	0.914668619632721	*	20	0	22	0	0	0	0	0	6	3	0	0	0	0
E4_THYROID	Disorders of the thyroid gland	C73	Malignant neoplasm of thyroid gland	0.760207831859589	*	11787	126	1561	112	1561	108	108	1	86	23	1	21	1	2
E4_THYROID	Disorders of the thyroid gland	40001_C73	Malignant neoplasm of thyroid gland	0.760207831859589	*	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EPISEIZALCO	Epileptic seizures related to alcohol	F10	Mental and behavioural disorders due to use of alcohol	0.784289836883545	*	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F5_ALCOHOL_DEPENDENCE	Alcohol dependence	F10	Mental and behavioural disorders due to use of alcohol	0.750922441482544	*	65	0	34	0	34	0	0	0	2	1	0	1	0	0
F5_Dementia_U_EXMORE	Undefined dementia (more controls excluded)	40001_F019	Vascular dementia, unspecified	0.701626002788544	*	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F5_MENTORG	Other mental disorders due to brain damage and dysfunction and to physical disease	G93	Other disorders of brain	0.766049802303314	*	27	8	21	0	0	8	0	1	1	1	0	0	1	1
F5_NEUROTICOTH	Other neurotic disorders	G93	Other disorders of brain	0.809763133525848	*	0	8	0	0	0	0	0	1	0	0	0	0	0	0
F5_NEUROTICOTH	Other neurotic disorders	G62	Other polyneuropathies	0.706808567047119	*	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F5_VASCDEM	Vascular dementia	40001_F03	Unspecified dementia	0.732827365398407	*	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FG_CARDMYO	Cardiomyopathy (excluding other)	40001_I420	Dilated cardiomyopathy	0.757493495941162	*	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FG_OTHHEART	Other heart diseases	I24	Other acute ischaemic heart diseases	0.871297419071198	*	644	0	212	0	151	0	0	0	28	4	0	3	0	0
FG_OTHHEART	Other heart diseases	I49	Other cardiac arrhythmias	0.71875673532486	*	644	0	176	0	174	0	0	0	28	2	0	1	0	0
FG_PULMHEART	Pulmonary heart disease	I26	Pulmonary embolism	0.730358123779297	*	438	396	624	151	322	228	130	23	9	13	6	6	12	15
G6_CERVROOT	Cervical root disorders	M50	Cervical disk disorders	0.798699378967285	*	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G6_DRUGPOLY	Drug-induced polyneuropathy	G62	Other polyneuropathies	0.776833891868591	*	0	0	1	0	0	0	0	0	0	1	0	0	0	0
G6_MENINGOTH	Other meningitis	A87	Viral meningitis	0.771057605743408	*	0	0	7	0	0	0	0	0	0	1	0	0	0	0
G6_MONOLOWOTHUNS	Other and unspecified mononeuropathies of lower limb	G58	Other mononeuropathies	0.753473222255707	*	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G6_MONONPOTHUS	Other and unspecified mononeuropathies of upper limb	G58	Other mononeuropathies	0.728871464729309	*	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G6_NEUROOTH	Other disorders of nervous system	40001_G318	Other specified degenerative diseases of nervous system	0.828840374946594	*	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
G6_OTHNEU	Other neurological diseases	G93	Other disorders of brain	0.765412271022797	*	0	8	0	0	0	0	0	1	0	0	0	0	0	0
G6_PARDIPLE	Paraplegia, diplegia of upper limbs	G82	Paraplegia and tetraplegia	0.740182399749756	*	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GOUT_KIDNEY	Gout due to impairment of renal function	N17	Acute renal failure	0.739130258560181	*	0	0	2	0	0	0	0	0	0	1	0	0	0	0
GOUT_KIDNEY	Gout due to impairment of renal function	N18	Chronic renal failure	0.725626826286316	*	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H7_BCKRNDRETINOPAT	Background retinopathy and retinal vascular changes	H35	Other retinal disorders	0.71026623249054	*	1	2	0	0	0	0	0	1	1	0	0	0	0	0
H7_DIVERGSTRAB	Divergent concomitant strabismus	H50	Other strabismus	0.706035614013672	*	3	0	0	0	0	0	0	0	1	0	0	0	0	0
H7_EYELIDINOTH	Disorders of eyelid in diseases classified elsewhere	H01	Other inflammation of eyelid	0.791747808456421	*	0	4	0	0	0	0	0	1	0	0	0	0	0	0
H7_LIDLACRIMALORBIT	Disorders of eyelid, lacrimal system and orbit	H05	Disorders of orbit	0.704382359981537	*	11	0	0	0	0	0	0	0	1	0	0	0	0	0
H7_OTHRETARTOCC	Other retinal artery occlusion	H35	Other retinal disorders	0.785264074802399	*	0	2	0	0	0	0	0	1	0	0	0	0	0	0
H7_RETINOPATHYDIAB_BKG	Diabetic background retinopathy	H35	Other retinal disorders	0.72604364156723	*	13896	2	6439	0	6439	0	0	1	25	12	0	12	0	0
H8_INNER	Diseases of inner ear	H93	Other disorders of ear, not elsewhere classified	0.700511515140533	*	3	0	0	0	0	0	0	0	1	0	0	0	0	0
H8_NOISEINNER	Noise effects on inner ear	H83	Other diseases of inner ear	0.704089224338532	*	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H8_OTHEREAR	Other disorders of ear	H83	Other diseases of inner ear	0.908132553100586	*	780	0	16	0	15	0	0	0	10	3	0	2	0	0
H8_POSTOP	Postprocedural disorders of ear and mastoid process, not elsewhere classified	H93	Other disorders of ear, not elsewhere classified	0.705347836017608	*	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I9_AORTANEUR_EXNONE	Aortic aneurysm (no controls excluded)	40001_I359	Aortic valve disorder, unspecified	0.731976330280304	*	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I9_CARDMPRI	Cardiomyopathies, Primary/intrinsic	40001_I255	Ischaemic cardiomyopathy	0.789651334285736	*	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I9_CARDMPRI	Cardiomyopathies, Primary/intrinsic	40001_I420	Dilated cardiomyopathy	0.705427825450897	*	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I9_CORATHER	Coronary atherosclerosis	I70	Atherosclerosis	0.789926588535309	*	2302	2	303	0	298	0	0	2	59	13	0	14	0	0
I9_CVD	Cardiovascular diseases	I42	Cardiomyopathy	0.705797135829926	*	577	1	16	0	15	0	0	1	37	3	0	2	0	0
I9_ENDOCARD	Endocarditis	40001_I330	Acute and subacute infective endocarditis	0.849099040031433	*	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I9_ENDOCARD	Endocarditis	I33	Acute and subacute endocarditis	0.832598805427551	*	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I9_ENDOCARD_EXNONE	Endocarditis (no controls excluded)	40001_I38	Endocarditis, valve unspecified	0.76524156332016	*	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I9_HEARTFAIL	Heart failure,strict	40001_I500	Congestive heart failure	0.721176862716675	*	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I9_HEARTFAIL	Heart failure,strict	40001_I110	Hypertensive heart disease with (congestive) heart failure	0.714269757270813	*	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I9_HEARTFAIL_ALLCAUSE	All-cause Heart Failure	40001_I500	Congestive heart failure	0.807085156440735	*	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I9_HEARTFAIL_ALLCAUSE	All-cause Heart Failure	I25	Chronic ischaemic heart disease	0.726017594337463	*	119	2161	460	0	2	432	0	31	5	21	0	0	18	18
I9_HEARTFAIL_AND_HYPERTCARDIOM	Heart failure and hypertrophic cardiomyopathy	40001_I110	Hypertensive heart disease with (congestive) heart failure	0.839254677295685	*	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I9_HEARTFAIL_AND_HYPERTCARDIOM	Heart failure and hypertrophic cardiomyopathy	40001_I500	Congestive heart failure	0.808982729911804	*	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I9_HYPERTROCARDMYOP	Hypertrophic cardiomyopathy	I42	Cardiomyopathy	0.734724283218384	*	341	1	0	0	0	0	0	1	64	0	0	0	0	0
I9_HYPTENSPREG	Hypertension complicating pregnancy, childbirth, and the puerperium	O99	Other maternal diseases classifiable elsewhere but complicating pregnancy, childbirth and the puerperium	0.752548933029175	*	233	1	3	0	0	0	0	1	10	2	0	0	0	0
I9_ISCHHEART	Ischemic heart diseases	I25	Chronic ischaemic heart disease	0.704213619232178	*	2223	2161	3449	1030	1420	1688	961	31	54	64	18	36	31	42
I9_MI	Myocardial infarction	I21	Acute myocardial infarction	0.829617917537689	*	865	320	1063	203	522	256	194	15	30	30	7	15	12	15
I9_MI	Myocardial infarction	I22	Subsequent myocardial infarction	0.821514368057251	*	865	6	282	6	272	6	6	2	30	10	2	8	2	3
I9_MI	Myocardial infarction	40001_I219	Acute myocardial infarction, unspecified	0.758664071559906	*	865	0	556	0	553	0	0	0	30	16	0	15	0	0
I9_NONISCHCARDMYOP	Non-ischemic cardiomyopathy	40001_I429	Cardiomyopathy, unspecified	0.789417564868927	*	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I9_NONISCHCARDMYOP	Non-ischemic cardiomyopathy	I42	Cardiomyopathy	0.711117088794708	*	1	1	0	0	0	0	0	1	0	0	0	0	0	0
I9_NONISCHCARDMYOP_STRICT	Nonischemic cardiomyopathy	40001_I429	Cardiomyopathy, unspecified	0.782630801200867	*	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I9_OTHHEART	Other heart diseases	I49	Other cardiac arrhythmias	0.71875673532486	*	544	0	292	0	276	0	0	0	27	2	0	2	0	0
I9_OTHILLHEART	Other or ill-defined heart diseases	40001_I259	Chronic ischaemic heart disease, unspecified	0.754620671272278	*	0	3	0	0	0	0	0	1	0	0	0	0	0	0
I9_OTHILLHEART	Other or ill-defined heart diseases	I24	Other acute ischaemic heart diseases	0.727793574333191	*	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I9_OTHILLHEART_EXNONE	Other or ill-defined heart diseases (no controls excluded)	40001_I259	Chronic ischaemic heart disease, unspecified	0.749017596244812	*	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
