phenocode	name	category
AB1_PEDICULOSIS_ACARIASIS_OTHERINFEST	"Pediculosis, acariasis and other infestations"	I Certain infectious and parasitic diseases (AB1_)
AB1_PNEUMOCYSTOSIS	Pneumocystosis	I Certain infectious and parasitic diseases (AB1_)
AB1_POLIOMYELITIS	Acute poliomyelitis	I Certain infectious and parasitic diseases (AB1_)
AB1_PROTOZOAL	Protozoal diseases	I Certain infectious and parasitic diseases (AB1_)
AB1_RESP_TUBERCU	Respiratry tuberculosis	I Certain infectious and parasitic diseases (AB1_)
AB1_RESP_TUBERCU_CONF	"Respiratory tuberculosis, bacteriologically and histologically confirmed"	I Certain infectious and parasitic diseases (AB1_)
AB1_RESP_TUBERCU_NONCONF	"Respiratory tuberculosis, not confirmed bacteriologically or histologically"	I Certain infectious and parasitic diseases (AB1_)
AB1_RUBELLA	Rubella [German measles]	I Certain infectious and parasitic diseases (AB1_)
AB1_SALMONELLA_OTH	Other salmonella infections	I Certain infectious and parasitic diseases (AB1_)
AB1_SCABIES	Scabies	I Certain infectious and parasitic diseases (AB1_)
AB1_SCARLET_FEVER	Scarlet fever	I Certain infectious and parasitic diseases (AB1_)
AB1_SCHISTOSOMIASIS	Schistosomiasis [bilharziasis]	I Certain infectious and parasitic diseases (AB1_)
AB1_SEPSIS	Septicaemia	I Certain infectious and parasitic diseases (AB1_)
AB1_SEQULAE_INF_NOS	Sequelae of other and unspecified infectious and parasitic diseases	I Certain infectious and parasitic diseases (AB1_)
AB1_SEQULAE_POLIO	Sequelae of poliomyelitis	I Certain infectious and parasitic diseases (AB1_)
AB1_SEQULAE_TUBERCU	Sequelae of tuberculosis	I Certain infectious and parasitic diseases (AB1_)
AB1_SEQULEAE_OF_INFECTIONS_AND_PARASITES	Sequelae of infectious and parasitic diseases	I Certain infectious and parasitic diseases (AB1_)
AB1_SEXUAL_TRANSMISSION	Infections with a predominantly sexual mode of transmission	I Certain infectious and parasitic diseases (AB1_)
AB1_SEXUAL_TRANSMISSION_NOS	"Other predominantly sexually transmitted diseases, not elsewhere classified"	I Certain infectious and parasitic diseases (AB1_)
AB1_SPIROCHE_OTHER	"Spirochaetal infections, other/unspecified"	I Certain infectious and parasitic diseases (AB1_)
AB1_STREPTO_SEPSIS	Streptococcal septicaemia	I Certain infectious and parasitic diseases (AB1_)
AB1_STREPTSTAPHYCOCC_INOTHER	Streptococcus and staphylococcus as the cause of diseases classified to other chapters	I Certain infectious and parasitic diseases (AB1_)
AB1_SYPHILIS	Syphilis	I Certain infectious and parasitic diseases (AB1_)
AB1_TOXOPLASMOSIS	Toxoplasmosis	I Certain infectious and parasitic diseases (AB1_)
AB1_TRICHOMONIASIS	Trichomoniasis	I Certain infectious and parasitic diseases (AB1_)
AB1_TUBERCULOSIS	Tuberculosis	I Certain infectious and parasitic diseases (AB1_)
AB1_TUBERCU_OTH_ORG	Tuberculosis of other organs	I Certain infectious and parasitic diseases (AB1_)
AB1_TULARAEMIA	Tularaemia	I Certain infectious and parasitic diseases (AB1_)
AB1_VARICELLA	Varicella [chickenpox]	I Certain infectious and parasitic diseases (AB1_)
AB1_VIRAAL_CONJUNCT	Viral conjunctivitis	I Certain infectious and parasitic diseases (AB1_)
AB1_VIRAL_CNS	Viral infections of the central nervous system	I Certain infectious and parasitic diseases (AB1_)
AB1_VIRAL_ENCEPHALITIS_NOS	"Viral encephalitis, not elsewhere classified/unspecified"	I Certain infectious and parasitic diseases (AB1_)
AB1_VIRAL_HEMOR_FEVER_NOS	"Viral haemorrhagic fevers, not elsewhere classified/unspecified"	I Certain infectious and parasitic diseases (AB1_)
AB1_VIRAL_HEPATITIS	Viral hepatitis	I Certain infectious and parasitic diseases (AB1_)
AB1_VIRAL_INOTHER	Viral agents as the cause of diseases classified to other chapters	I Certain infectious and parasitic diseases (AB1_)
AB1_VIRAL_MENINGITIS	Viral meningitis	I Certain infectious and parasitic diseases (AB1_)
AB1_VIRAL_NOS	"Other viral diseases, not elsewhere classified"	I Certain infectious and parasitic diseases (AB1_)
AB1_VIRAL_OTHER_INTEST_INFECTIONS	Viral and other specified intestinal infections	I Certain infectious and parasitic diseases (AB1_)
AB1_VIRAL_SKIN_MUCOUS_MEMBRANE	Viral infections characterized by skin and mucous membrane lesions	I Certain infectious and parasitic diseases (AB1_)
AB1_VIRAL_SKIN_NOS	"Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified"	I Certain infectious and parasitic diseases (AB1_)
AB1_VIRAL_WARTS	Viral warts	I Certain infectious and parasitic diseases (AB1_)
AB1_VIRAN_CNS_INFECTIONS_NOS	"Viral infections of central nervous system, not elsewhere classified/unspecified"	I Certain infectious and parasitic diseases (AB1_)
AB1_WHOOPCOUGH	Whooping cough	I Certain infectious and parasitic diseases (AB1_)
AB1_ZOONOTIC_BACTERIAL	Certain zoonotic bacterial diseases	I Certain infectious and parasitic diseases (AB1_)
AB1_ZOSTER	Zoster [herpes zoster]	I Certain infectious and parasitic diseases (AB1_)
ABDOM_HERNIA	Hernia of abodminal wall	XI Diseases of the digestive system (K11_)
ABDOM_HERNIA_POSTOP	"Hernia of abodminal wall, postoperative"	XI Diseases of the digestive system (K11_)
ACUTE_DRUGADVERS_INTERSTITIAL_LUNG_DISORD	Acute drug-induced interstitial lung disorder	X Diseases of the respiratory system (J10_)
AD_AM	AlzheimerÕs disease (Atypical or mixed)	Neurological endpoints
AD_AM_EXMORE	AlzheimerÕs disease (Atypical or mixed) (more controls excluded)	Neurological endpoints
AD_EO	AlzheimerÕs disease (Early onset)	Neurological endpoints
AD_EO_EXMORE	AlzheimerÕs disease (Early onset) (more controls excluded)	Neurological endpoints
AD_LO	AlzheimerÕs disease (Late onset)	Neurological endpoints
AD_LO_EXMORE	AlzheimerÕs disease (Late onset) (more controls excluded)	Neurological endpoints
AD_U	AlzheimerÕs disease (undefined)	Neurological endpoints
AD_U_EXMORE	AlzheimerÕs disease (undefined) (more controls excluded)	Neurological endpoints
ALCODELIRIUM	Alcohol withdrawal state with deliriumÊ	V Mental and behavioural disorders (F5_)
ALCOGASTRITIS	Alcoholic gastritis	Alcohol related diseases
ALCOHOLACUTE10	Acute alcohol intoxication	Alcohol related diseases
ALCOHOLMENTAL	"Mental and behavioural disorders due to alcohol, excluding acute intoxication"	Alcohol related diseases
ALCOHOL_RELATED	"Alcohol related diseases and deaths, all endoints"	Alcohol related diseases
ALCOLIVER	Alcoholic liver disease	Alcohol related diseases
ALCONEURODEGEN	Degeneration of nervous system due to alcohol	Alcohol related diseases
ALCOPANCACU	Acohol-induced acute pancreatitis	Alcohol related diseases
ALCOPANCCHRON	Alcohol-induced chronic pancreatitis	Alcohol related diseases
ALCOPOLYNEU	Alcohol induced polyneuropathy	Alcohol related diseases
ALCO_PRESCRIPTION	"Use of disulfiram, acamprosate or naltrexone"	Alcohol related diseases
ALLERGIC_CONTACT_DERMA_DRUGS_CONTACT_W_SKIN	Allergic contact dermatitis due to drugs in contact with skin	XII Diseases of the skin and subcutaneous tissue (L12_)
ALLERG_ASTHMA	Allergic asthma (mode)	Asthma and related endpoints
ALLERG_ASTHMA_EXMORE	Allergic asthma (mode) (more controls excluded)	Asthma and related endpoints
ALLERG_RHINITIS	Allergic rhinitis	Comorbidities of Asthma
AMN2	Transient global amnesia	Neurological endpoints
ANAPH_SHOCK_ADVER_EFFECT_CORRE_DRUG_MEDICAM_PROPE_ADMINISTE	Anaphylactic shock due to adverse effect of correct drug or medicament properly administered	XIX Injury, poisoning and certain other consequences of external causes (ST19_)
ANOSMIA	Anosmia	Comorbidities of Neurological endpoints
ANTIDEPRESSANTS	Depression medications	Comorbidities of Neurological endpoints
APPENDACUT_COMPLIC	"Acute appendicitis, with complications"	XI Diseases of the digestive system (K11_)
APPENDACUT_NOCOMPLIC	"Acute appendicitis, no complications"	XI Diseases of the digestive system (K11_)
APPENDICITIS_BROAD	"Appendicitis, broad definition"	XI Diseases of the digestive system (K11_)
ARTHRO_SPEC	Other specific arthropathies	Rheuma endpoints
ARTRHO_POSTDYSENTERIC	Postydysenteric arthropathy	Rheuma endpoints
ASTHMA_ACUTE_RESPIRATORY_INFECTIONS	Asthma-related acute respiratory infections	Asthma and related endpoints
ASTHMA_ALLERG	Asthma and allergy	Asthma and related endpoints
ASTHMA_ALLERG_EXMORE	Asthma and allergy (more controls excluded)	Asthma and related endpoints
ASTHMA_CHILD	Childhood asthma (age<16)	Asthma and related endpoints
ASTHMA_CHILD_EXMORE	Childhood asthma (age<16) (more controls excluded)	Asthma and related endpoints
ASTHMA_EOSINOPHIL_SUGG	Suggestive for eosinophilic asthma	Comorbidities of Asthma
ASTHMA_HOSPITAL_MAIN	"Asthma, hospital admissions , main diagnosis only"	Asthma and related endpoints
ASTHMA_INFECTIONS	Asthma-related infections	Asthma and related endpoints
ASTHMA_MIXED	Asthma mixed form (mode)	Asthma and related endpoints
ASTHMA_MIXED_EXMORE	Asthma mixed form (mode) (more controls excluded)	Asthma and related endpoints
ASTHMA_MODE	Asthma (mode)	Interstitial lung disease endpoints
ASTHMA_NAS	"Asthma, unspecified (mode)"	Asthma and related endpoints
ASTHMA_NAS_EXMORE	"Asthma, unspecified (mode)" (more controls excluded)	Asthma and related endpoints
ASTHMA_NONALLERG	Non-allergic asthma	Asthma and related endpoints
ASTHMA_NOS_EXMORE	Undetermined asthma (more controls excluded)	Asthma and related endpoints
ASTHMA_OBESITY	Obesity related asthma	Comorbidities of Asthma
ASTHMA_OPPORTUNIST_INFECTIONS	Asthma and opportunit respiratory infection	Asthma and related endpoints
ASTHMA_PNEUMONIA	Asthma-related pneumonia	Asthma and related endpoints
ASTHMA_PNEUMONIA_AND_SEPSIS	Asthma-related pneumonia or sepsis	Asthma and related endpoints
ASTHMA_SEPTICHE_PNEUMONIA	Pneumonia derived septichemia	Asthma and related endpoints
ATOPIC_STRICT	"Atopic  dermatitis, strict definition"	XII Diseases of the skin and subcutaneous tissue (L12_)
ATOPIC_STRICT_REIMB	"Atopic dermatitis, strict definition with reimbursement"	XII Diseases of the skin and subcutaneous tissue (L12_)
AUD	"Alcohol use disorder, ICD-based"	V Mental and behavioural disorders (F5_)
AUD_SWEDISH	"Alcohol use disorder, Swedish definition"	Alcohol related diseases
AUTOIMMUNE	Autoimmune diseases	Diseases marked as autimmune origin
AUTOIMMUNE_HYPERTHYROIDISM	Autoimmune hyperthyroidism	IV Endocrine, nutritional and metabolic diseases (E4_)
BACT_INTEST_INFECTION_NOS	Other specified/unspecified bacterial intestinal infections	I Certain infectious and parasitic diseases (AB1_)
BRONCHITIS	Bronchitis	Asthma and related endpoints
C3_AML	Acute myeloid leukaemia	II Neoplasms, from cancer register (ICD-O-3)
C3_AML_EXALLC	Acute myeloid leukaemia (all cancers excluded)	II Neoplasms, from cancer register (ICD-O-3)
C3_ANUS_ANALCANAL	Malignant neoplasm of anus and anal canal	II Neoplasms, from cancer register (ICD-O-3)
C3_ANUS_ANALCANAL_EXALLC	Malignant neoplasm of anus and anal canal (all cancers excluded)	II Neoplasms, from cancer register (ICD-O-3)
C3_BILIARY_TRACT	Malignant neoplasm of other and unspecified parts of biliary tract	II Neoplasms, from cancer register (ICD-O-3)
C3_BILIARY_TRACT_EXALLC	Malignant neoplasm of other and unspecified parts of biliary tract (all cancers excluded)	II Neoplasms, from cancer register (ICD-O-3)
C3_BLADDER	Malignant neoplasm of bladder	II Neoplasms, from cancer register (ICD-O-3)
C3_BLADDER_EXALLC	Malignant neoplasm of bladder (all cancers excluded)	II Neoplasms, from cancer register (ICD-O-3)
C3_BONE_CARTILAGE	Malignant neoplasm of bone and articular cartilage	II Neoplasms, from cancer register (ICD-O-3)
C3_BONE_CARTILAGE_EXALLC	Malignant neoplasm of bone and articular cartilage (all cancers excluded)	II Neoplasms, from cancer register (ICD-O-3)
C3_BRAIN	Malignant neoplasm of brain	II Neoplasms, from cancer register (ICD-O-3)
C3_BRAIN_EXALLC	Malignant neoplasm of brain (all cancers excluded)	II Neoplasms, from cancer register (ICD-O-3)
C3_BREAST	Malignant neoplasm of breast	II Neoplasms, from cancer register (ICD-O-3)
C3_BREAST_EXALLC	Malignant neoplasm of breast (all cancers excluded)	II Neoplasms, from cancer register (ICD-O-3)
C3_BREAST_HER2NEG	"Malignant neoplasm of breast, HER2-negative"	II Neoplasms, from cancer register (ICD-O-3)
C3_BREAST_HER2NEG_EXALLC	"Malignant neoplasm of breast, HER2-negative" (all cancers excluded)	II Neoplasms, from cancer register (ICD-O-3)
C3_BREAST_HERNEG	"Malignant neoplasm of breast, HER-negative"	II Neoplasms, from cancer register (ICD-O-3)
C3_BREAST_HERNEG_EXALLC	"Malignant neoplasm of breast, HER-negative" (all cancers excluded)	II Neoplasms, from cancer register (ICD-O-3)
C3_BREAST_HERPLUS	"Malignant neoplasm of breast, HER-positive"	II Neoplasms, from cancer register (ICD-O-3)
C3_BREAST_HERPLUS_EXALLC	"Malignant neoplasm of breast, HER-positive" (all cancers excluded)	II Neoplasms, from cancer register (ICD-O-3)
C3_BRONCHUS_LUNG	Malignant neoplasm of bronchus and lung	II Neoplasms, from cancer register (ICD-O-3)
C3_BRONCHUS_LUNG_EXALLC	Malignant neoplasm of bronchus and lung (all cancers excluded)	II Neoplasms, from cancer register (ICD-O-3)
C3_CANCER	Malignant neoplasm	II Neoplasms, from cancer register (ICD-O-3)
C3_CERVIX_UTERI	Malignant neoplasm of cervix uteri	II Neoplasms, from cancer register (ICD-O-3)
C3_CERVIX_UTERI_EXALLC	Malignant neoplasm of cervix uteri (all cancers excluded)	II Neoplasms, from cancer register (ICD-O-3)
C3_CLL	Chronic lymphocytic leukaemia	II Neoplasms, from cancer register (ICD-O-3)
C3_CLL_EXALLC	Chronic lymphocytic leukaemia (all cancers excluded)	II Neoplasms, from cancer register (ICD-O-3)
C3_COLON	Malignant neoplasm of colon	II Neoplasms, from cancer register (ICD-O-3)
C3_COLON_ADENO	Colon adenocarcinoma	II Neoplasms, from cancer register (ICD-O-3)
C3_COLON_ADENO_EXALLC	Colon adenocarcinoma (all cancers excluded)	II Neoplasms, from cancer register (ICD-O-3)
C3_COLON_EXALLC	Malignant neoplasm of colon (all cancers excluded)	II Neoplasms, from cancer register (ICD-O-3)
C3_COLORECTAL	Colorectal cancer	II Neoplasms, from cancer register (ICD-O-3)
C3_COLORECTAL_EXALLC	Colorectal cancer (all cancers excluded)	II Neoplasms, from cancer register (ICD-O-3)
C3_CONNECTIVE_SOFT_NAS	Malignant neoplasm of other connective and soft tissue	II Neoplasms, from cancer register (ICD-O-3)
C3_CONNECTIVE_SOFT_NAS_EXALLC	Malignant neoplasm of other connective and soft tissue (all cancers excluded)	II Neoplasms, from cancer register (ICD-O-3)
C3_CORPUS_UTERI	Malignant neoplasm of corpus uteri	II Neoplasms, from cancer register (ICD-O-3)
C3_CORPUS_UTERI_EXALLC	Malignant neoplasm of corpus uteri (all cancers excluded)	II Neoplasms, from cancer register (ICD-O-3)
C3_DIGESTIVE_ORGANS	Malignant neoplasm of digestive organs	II Neoplasms, from cancer register (ICD-O-3)
C3_DIGESTIVE_ORGANS_EXALLC	Malignant neoplasm of digestive organs (all cancers excluded)	II Neoplasms, from cancer register (ICD-O-3)
C3_DLBCL	Diffuse large B-cell lymphoma	II Neoplasms, from cancer register (ICD-O-3)
C3_DLBCL_EXALLC	Diffuse large B-cell lymphoma (all cancers excluded)	II Neoplasms, from cancer register (ICD-O-3)
C3_ENDOCRINE	Malignant neoplasm of endocrine gland	II Neoplasms, from cancer register (ICD-O-3)
C3_ENDOCRINE_EXALLC	Malignant neoplasm of endocrine gland (all cancers excluded)	II Neoplasms, from cancer register (ICD-O-3)
C3_EYE_ADNEXA	Malignant neoplasm of eye and adnexa	II Neoplasms, from cancer register (ICD-O-3)
C3_EYE_ADNEXA_EXALLC	Malignant neoplasm of eye and adnexa (all cancers excluded)	II Neoplasms, from cancer register (ICD-O-3)
C3_EYE_BRAIN_NEURO	"Malignant neoplasm of eye, brain and central nervous system"	II Neoplasms, from cancer register (ICD-O-3)
C3_EYE_BRAIN_NEURO_EXALLC	"Malignant neoplasm of eye, brain and central nervous system" (all cancers excluded)	II Neoplasms, from cancer register (ICD-O-3)
C3_FEMALE_GENITAL	malignant neoplasm of female genital organs	II Neoplasms, from cancer register (ICD-O-3)
C3_FEMALE_GENITAL_EXALLC	malignant neoplasm of female genital organs (all cancers excluded)	II Neoplasms, from cancer register (ICD-O-3)
C3_FEMALE_GENITAL_NAS	Malignant neoplasm of other and unspecified female genital organs	II Neoplasms, from cancer register (ICD-O-3)
C3_FEMALE_GENITAL_NAS_EXALLC	Malignant neoplasm of other and unspecified female genital organs (all cancers excluded)	II Neoplasms, from cancer register (ICD-O-3)
C3_GBM	Brain glioblastoma	II Neoplasms, from cancer register (ICD-O-3)
C3_GBM_EXALLC	Brain glioblastoma (all cancers excluded)	II Neoplasms, from cancer register (ICD-O-3)
C3_HEART_MEDIASTINUM_PLEURA	"Malignant neoplasm of heart, mediastinum and pleura"	II Neoplasms, from cancer register (ICD-O-3)
C3_HEART_MEDIASTINUM_PLEURA_EXALLC	"Malignant neoplasm of heart, mediastinum and pleura" (all cancers excluded)	II Neoplasms, from cancer register (ICD-O-3)
C3_KIDNEY_NOTRENALPELVIS	"Malignant neoplasm of kidney, except renal pelvis"	II Neoplasms, from cancer register (ICD-O-3)
C3_KIDNEY_NOTRENALPELVIS_EXALLC	"Malignant neoplasm of kidney, except renal pelvis" (all cancers excluded)	II Neoplasms, from cancer register (ICD-O-3)
C3_LARYNX	Malignant neoplasm of larynx	II Neoplasms, from cancer register (ICD-O-3)
C3_LARYNX_EXALLC	Malignant neoplasm of larynx (all cancers excluded)	II Neoplasms, from cancer register (ICD-O-3)
C3_LIP_ORAL_PHARYNX	"Malignant neoplasm of lip, oral cavity and pharynx"	II Neoplasms, from cancer register (ICD-O-3)
C3_LIP_ORAL_PHARYNX_EXALLC	"Malignant neoplasm of lip, oral cavity and pharynx" (all cancers excluded)	II Neoplasms, from cancer register (ICD-O-3)
C3_LIVER_INTRAHEPATIC_BILE_DUCTS	Malignant neoplasm of liver and intrahepatic bile ducts	II Neoplasms, from cancer register (ICD-O-3)
C3_LIVER_INTRAHEPATIC_BILE_DUCTS_EXALLC	Malignant neoplasm of liver and intrahepatic bile ducts (all cancers excluded)	II Neoplasms, from cancer register (ICD-O-3)
C3_LUNG_NONSMALL	Non-small cell lung cancer	II Neoplasms, from cancer register (ICD-O-3)
C3_LUNG_NONSMALL_EXALLC	Non-small cell lung cancer (all cancers excluded)	II Neoplasms, from cancer register (ICD-O-3)
C3_LYMPHNODES_SECONDARY_NAS	Secondary and unspecified malignant neoplasm of lymph nodes	II Neoplasms, from cancer register (ICD-O-3)
C3_LYMPHNODES_SECONDARY_NAS_EXALLC	Secondary and unspecified malignant neoplasm of lymph nodes (all cancers excluded)	II Neoplasms, from cancer register (ICD-O-3)
C3_MALE_GENITAL	malignant neoplasm of male genital organs	II Neoplasms, from cancer register (ICD-O-3)
C3_MALE_GENITAL_EXALLC	malignant neoplasm of male genital organs (all cancers excluded)	II Neoplasms, from cancer register (ICD-O-3)
C3_MELANOMA_SKIN	Malignant melanoma of skin	II Neoplasms, from cancer register (ICD-O-3)
C3_MELANOMA_SKIN_EXALLC	Malignant melanoma of skin (all cancers excluded)	II Neoplasms, from cancer register (ICD-O-3)
C3_MENINGES	Malignant neoplasm of meninges	II Neoplasms, from cancer register (ICD-O-3)
C3_MENINGES_EXALLC	Malignant neoplasm of meninges (all cancers excluded)	II Neoplasms, from cancer register (ICD-O-3)
C3_MESOTHELIOMA	Mesothelioma	II Neoplasms, from cancer register (ICD-O-3)
C3_MESOTHELIOMA_EXALLC	Mesothelioma (all cancers excluded)	II Neoplasms, from cancer register (ICD-O-3)
C3_MESTOTHEL_SOFTTISSUE	Melignant neoplasm of mesothelium and soft tissue	II Neoplasms, from cancer register (ICD-O-3)
C3_MESTOTHEL_SOFTTISSUE_EXALLC	Melignant neoplasm of mesothelium and soft tissue (all cancers excluded)	II Neoplasms, from cancer register (ICD-O-3)
C3_NSCLC_ADENO	"Non-small cell lung cancer, adenocarcinoma"	II Neoplasms, from cancer register (ICD-O-3)
C3_NSCLC_ADENO_EXALLC	"Non-small cell lung cancer, adenocarcinoma" (all cancers excluded)	II Neoplasms, from cancer register (ICD-O-3)
C3_NSCLC_SQUAM	"Non-small cell lung cancer, squamous"	II Neoplasms, from cancer register (ICD-O-3)
C3_NSCLC_SQUAM_EXALLC	"Non-small cell lung cancer, squamous" (all cancers excluded)	II Neoplasms, from cancer register (ICD-O-3)
C3_OESOPHAGUS	Malignant neoplasm of oesophagus	II Neoplasms, from cancer register (ICD-O-3)
C3_OESOPHAGUS_EXALLC	Malignant neoplasm of oesophagus (all cancers excluded)	II Neoplasms, from cancer register (ICD-O-3)
C3_OTHER_SKIN	Other malignant neoplasms of skin (=non-melanoma skin cancer)	II Neoplasms, from cancer register (ICD-O-3)
C3_OTHER_SKIN_EXALLC	Other malignant neoplasms of skin (=non-melanoma skin cancer) (all cancers excluded)	II Neoplasms, from cancer register (ICD-O-3)
C3_OVARY	Malignant neoplasm of ovary	II Neoplasms, from cancer register (ICD-O-3)
C3_OVARY_EXALLC	Malignant neoplasm of ovary (all cancers excluded)	II Neoplasms, from cancer register (ICD-O-3)
C3_PANCREAS	Malignant neoplasm of pancreas	II Neoplasms, from cancer register (ICD-O-3)
C3_PANCREAS_EXALLC	Malignant neoplasm of pancreas (all cancers excluded)	II Neoplasms, from cancer register (ICD-O-3)
C3_PROSTATE	Malignant neoplasm of prostate	II Neoplasms, from cancer register (ICD-O-3)
C3_PROSTATE_EXALLC	Malignant neoplasm of prostate (all cancers excluded)	II Neoplasms, from cancer register (ICD-O-3)
C3_RECTOSIGMOID_JUNCTION	Malignant neoplasm of rectosigmoid junction	II Neoplasms, from cancer register (ICD-O-3)
C3_RECTOSIGMOID_JUNCTION_EXALLC	Malignant neoplasm of rectosigmoid junction (all cancers excluded)	II Neoplasms, from cancer register (ICD-O-3)
C3_RECTUM	Malignant neoplasm of rectum	II Neoplasms, from cancer register (ICD-O-3)
C3_RECTUM_EXALLC	Malignant neoplasm of rectum (all cancers excluded)	II Neoplasms, from cancer register (ICD-O-3)
C3_RESPIRATORY_INTRATHORACIC	Malignant neoplasm of respiratory system and intrathoracic organs	II Neoplasms, from cancer register (ICD-O-3)
C3_RESPIRATORY_INTRATHORACIC_EXALLC	Malignant neoplasm of respiratory system and intrathoracic organs (all cancers excluded)	II Neoplasms, from cancer register (ICD-O-3)
C3_SCLC	Small cell lung cancer	II Neoplasms, from cancer register (ICD-O-3)
C3_SCLC_EXALLC	Small cell lung cancer (all cancers excluded)	II Neoplasms, from cancer register (ICD-O-3)
C3_SECONDARY_NAS	Secondary malignant neoplasm of other and unspecified sites	II Neoplasms, from cancer register (ICD-O-3)
C3_SECONDARY_NAS_EXALLC	Secondary malignant neoplasm of other and unspecified sites (all cancers excluded)	II Neoplasms, from cancer register (ICD-O-3)
C3_SECONDARY_WITHOUT_SITESPEC	"Malignant neoplasm, without specification of site"	II Neoplasms, from cancer register (ICD-O-3)
C3_SECONDARY_WITHOUT_SITESPEC_EXALLC	"Malignant neoplasm, without specification of site" (all cancers excluded)	II Neoplasms, from cancer register (ICD-O-3)
